 Adam Kinzinger,@RepKinzinger
 Adam Schiff,@RepAdamSchiff
 Adriano Espaillat,@RepEspaillat
 Albio Sires,@RepSires
 Alcee L. Hastings,@RepHastingsFL
 Alma S. Adams,@RepAdams
 Andre Carson,@RepAndreCarson
 Ann McLane Kuster,@RepAnnieKuster
 Ann Wagner,@RepAnnWagner
 Barbara Comstock,@RepComstock
 Barry Loudermilk,@RepLoudermilk
 Ben Ray Lujan,@repbenraylujan
 Bill Foster,@RepBillFoster
 Bill Johnson,@RepBillJohnson
 Bill Keating,@USRepKeating
 Bill Posey,@congbillposey
 Bill Shuster,@RepBillShuster
 Blaine Luetkemeyer,@RepBlainePress
 Blake Farenthold,@farenthold
 Bob Brady,@RepBrady
 Bob Goodlatte,@RepGoodlatte
 Bobby L. Rush,@RepBobbyRush
 Bonnie WatsonColeman,@RepBonnie
 Brad Sherman,@BradSherman
 Brad Wenstrup,@RepBradWenstrup
 Brenda Lawrence,@RepLawrence
 Brendan Boyle,@RepBrendanBoyle
 Brian Babin,@RepBrianBabin
 Brian Fitzpatrick,@RepBrianFitz
 Brian Higgins,@RepBrianHiggins
 Buddy Carter,@RepBuddyCarter
 Carolyn B. Maloney,@RepMaloney
 CathyMcMorrisRodgers,@cathymcmorris
 Chellie Pingree,@chelliepingree
 Chuck Fleischmann,@RepChuck
 Colleen Hanabusa,@RepHanabusa
 Cong. Mike Simpson,@CongMikeSimpson
 Cong. Steven Palazzo,@CongPalazzo
 Congressman Al Green,@RepAlGreen
 Congressman Ami Bera,@RepBera
 Congressman Ken Buck,@RepKenBuck
 Congressman Rod Blum,@RepRodBlum
 Congressman Tim Ryan,@RepTimRyan
 Congressman Tom Rice,@RepTomRice
 Congressmember Bass,@RepKarenBass
 Congresswoman Tenney,@RepTenney
 D. Wasserman Schultz,@RepDWStweets
 Dan Donovan,@dandonovan_ny
 Dana Rohrabacher,@RepRohrabacher
 Daniel Webster,@RepWebster
 Darin LaHood,@RepLaHood
 Darrell Issa,@DarrellIssa
 Dave Joyce,@RepDaveJoyce
 Dave Loebsack,@daveloebsack
 Dave Reichert,@davereichert
 Dave Trott,@repdavetrott
 David B. McKinley,@RepMcKinley
 David Cicilline,@RepCicilline
 David E. Price,@RepDavidEPrice
 David Rouzer,@RepDavidRouzer
 David Scott,@repdavidscott
 David Young,@RepDavidYoung
 Dennis Ross,@RepDennisRoss
 Denny Heck,@RepDennyHeck
 Diane Black,@RepDianeBlack
 Dina Titus,@repdinatitus
 Donald Norcross,@DonaldNorcross
 Donald Payne Jr.,@RepDonaldPayne
 Dr. Dan Benishek,@CongressmanDan
 Dr. Neal Dunn,@DrNealDunnFL2
 Dr. Phil Roe,@DrPhilRoe
 Drew Ferguson,@RepDrewFerguson
 Dutch Ruppersberger,@Call_Me_Dutch
 Dwight Evans,@RepDwightEvans
 Earl Blumenauer,@repblumenauer
 Ed Royce,@RepEdRoyce
 Elijah E. Cummings,@RepCummings
 Eliot Engel,@RepEliotEngel
 Elizabeth Esty,@RepEsty
 Francis Rooney,@RepRooney
 Frank LoBiondo,@RepLoBiondo
 Frank Lucas,@RepFrankLucas
 Fred Upton,@RepFredUpton
 Frederica Wilson,@RepWilson
 French Hill,@RepFrenchHill
 G. K. Butterfield,@GKButterfield
 Garret Graves,@garretgraves
 Gary Palmer,@USRepGaryPalmer
 George Holding,@RepHolding
 Gerry Connolly,@GerryConnolly
 Glenn 'GT' Thompson,@CongressmanGT
 Grace Meng,@RepGraceMeng
 Gregg Harper,@GreggHarper
 Gregory Meeks,@GregoryMeeks
 Gus Bilirakis,@RepGusBilirakis
 Gwen Moore,@RepGwenMoore
 Hakeem Jeffries,@RepJeffries
 Hal Rogers,@RepHalRogers
 Ileana Ros-Lehtinen,@RosLehtinen
 Jackie Speier,@RepSpeier
 Jackie Walorski,@RepWalorski
 Jacky Rosen,@RepJackyRosen
 JaimeHerreraBeutler,@HerreraBeutler
 James E. Clyburn,@Clyburn
 Jan Schakowsky,@janschakowsky
 Jared Polis,@jaredpolis
 Jason Chaffetz,@jasoninthehouse
 Jason Lewis,@RepJasonLewis
 Jeb Hensarling,@RepHensarling
 Jeff Denham,@RepJeffDenham
 Jeff Fortenberry,@JeffFortenberry
 Jerry McNerney,@RepMcNerney
 Jim Banks,@RepJimBanks
 Jim Bridenstine,@RepJBridenstine
 Jim Cooper,@repjimcooper
 Jim Himes,@jahimes
 Jim Langevin,@jimlangevin
 Jim McDermott,@RepJimMcDermott
 Jimmy Panetta,@RepJimmyPanetta
 Joaquin Castro,@JoaquinCastrotx
 Joe Barton,@RepJoeBarton
 Joe Wilson,@RepJoeWilson
 John Conyers Jr,@RepJohnConyers
 John Culberson,@CongCulberson
 John Faso,@RepJohnFaso
 John Garamendi,@RepGaramendi
 John Katko,@RepJohnKatko
 John Lewis,@repjohnlewis
 John Ratcliffe,@RepRatcliffe
 John Shimkus,@RepShimkus
 Jose E. Serrano,@RepJoseSerrano
 Joyce Beatty,@RepBeatty
 Judge Carter,@JudgeCarter
 Judy Chu,@RepJudyChu
 Julia Brownley,@JuliaBrownley26
 Justin Amash,@justinamash
 Katherine Clark,@RepKClark
 Kathleen Rice,@RepKathleenRice
 Keith Rothfus,@KeithRothfus
 Ken Calvert,@KenCalvert
 Kenny Marchant,@RepKenMarchant
 Kevin McCarthy,@GOPLeader
 Kyrsten Sinema,@RepSinema
 Lacy Clay MO1st,@LacyClayMO1
 Lamar Smith,@LamarSmithTX21
 Larry Bucshon,@RepLarryBucshon
 Lee Zeldin,@leezeldin
 Linda T. SÃ¡nchez,@RepLindaSanchez
 Lloyd Doggett,@RepLloydDoggett
